"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BZU","Beazer Homes USA, Inc.","22.25","0","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/bzu",
"BELFA","Bel Fuse Inc.","13.2","150053494.8","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/belfa",
"BELFB","Bel Fuse Inc.","15.36","141201054.72","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/belfb",
"BIO","Bio-Rad Laboratories, Inc.","123.53","3520489746.51","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/bio",
"BIO/B","Bio-Rad Laboratories, Inc.","122.74","0","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/bio/b",
"BLT","Blount International, Inc.","13.14","645784799.76","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/blt",
"BXC","BlueLinx Holdings Inc.","2.47","213931736.33","n/a","2004","Capital Goods","Wholesale Distributors","http://www.nasdaq.com/symbol/bxc",
"BA","Boeing Company (The)","86.75","65597359814.25","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/ba",
"BNSO","Bonso Electronics International, Inc.","1.37","7188257.11","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bnso",
"BWA","BorgWarner Inc.","72.58","8425193092.6","n/a","1993","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/bwa",
"BZC","Breeze-Eastern Corporation","8.31","79132191.06","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/bzc",
"BWEN","Broadwind Energy, Inc.","4.3","61704445.3","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/bwen",
"BRKR","Bruker Corporation","18.61","3100937346.97","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/brkr",
"CSTE","CaesarStone Sdot-Yam Ltd.","23.49","810108673.65","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cste",
"CAMT","Camtek Ltd.","1.49","44279766.36","n/a","2000","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/camt",
"CRR","Carbo Ceramics, Inc.","90.96","2104559802.96","n/a","1987","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/crr",
"CSCD","Cascade Microtech, Inc.","7.04","100218039.68","n/a","2004","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cscd",
"CAT","Caterpillar, Inc.","84.19","55148532625.67","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/cat",
"CECE","CECO Environmental Corp.","12.01","212844774.96","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cece",
"CPAC","Cementos Pacasmayo S.A.A.","14.38","1528483202.1","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cpac",
"CX","Cemex S.A.B. de C.V.","12.64","13763264103.84","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cx",
"CPHD","CEPHEID","36.8","2462915881.6","n/a","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/cphd",
"GTLS","Chart Industries, Inc.","79.36","2386680099.84","n/a","2006","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gtls",
"CAAS","China Automotive Systems, Inc.","4.3","120584981.7","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/caas",
"CCCL","China Ceramics Co., Ltd.","2.36","48216777.68","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cccl",
"CHOP","China Gerui Advanced Materials Group Limited","1.71","101850847.29","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/chop",
"CXDC","China XD Plastics Company Limited","3.93","186925623.96","n/a","n/a","Capital Goods","Containers/Packaging","http://www.nasdaq.com/symbol/cxdc",
"ZX","China Zenix Auto International Limited","3.04","156894400","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/zx",
"CIR","CIRCOR International, Inc.","41.17","720780028.53","n/a","1983","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/cir",
"CLC","CLARCOR Inc.","50.69","2518483734.15","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/clc",
"CDTI","Clean Diesel Technologies, Inc.","2.14","15628567.66","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/cdti",
"CLIR","ClearSign Combustion Corporation","7.3","64108709.5","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clir",
"CNH","CNH Global N.V.","40.92","9916360476","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/cnh",
"CRV","Coast Distribution System, Inc. (The)","2.07","10191502.17","n/a","n/a","Capital Goods","Automotive Aftermarket","http://www.nasdaq.com/symbol/crv",
"CGNX","Cognex Corporation","40","1735776600","n/a","1989","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cgnx",
"COGO","Cogo Group, Inc.","1.98","67019174.64","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cogo",
"COHR","Coherent, Inc.","53.43","1294189153.92","n/a","1970","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/cohr",
"COHU","Cohu, Inc.","9.19","226434055.01","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/cohu",
