"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GPN","Global Payments Inc.","45.2","3445638759.2","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/gpn",
"GRVY","GRAVITY Co., Ltd.","1.29","16893442.68","13095692","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grvy",
"HPY","Heartland Payment Systems, Inc.","32.14","1186868169.8","n/a","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hpy",
"ONE           ","Higher One Holdings, Inc.","9.2","426246718","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/one           ",
"HMSY","HMS Holdings Corp","26.325","2291492794.5","n/a","1992","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hmsy",
"IKNX","Ikonics Corporation","12.18","24384396.54","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/iknx",
"IMAX","Imax Corporation","26.95","1796865890.05","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/imax",
"INOC","Innotrac Corporation","3.41","44570200.4","n/a","1998","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/inoc",
"IDCC","InterDigital, Inc.","43.85","1804172599.95","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/idcc",
"PTNT","Internet Patents Corporation","3.65","28294624.8","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ptnt",
"KYAK","Kayak Software Corporation","40.03","1560097916.54","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/kyak",
"KEYN","Keynote Systems, Inc.","13.21","241327585.13","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/keyn",
"KGJI","Kingold Jewelry Inc.","1.4799","91119130.086","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/kgji",
"LPS","Lender Processing Services, Inc","24.81","2106685749.27","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lps",
"LLNW","Limelight Networks, Inc.","2.01","195023743.38","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/llnw",
"LIOX","Lionbridge Technologies, Inc.","3.37","219040065.24","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/liox",
"LQDT","Liquidity Services, Inc.","32.56","1027399640.08","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lqdt",
"LOCM","Local Corporation","1.8","41118769.8","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/locm",
"MCHX","Marchex, Inc.","4.05","114041908.8","n/a","2004","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mchx",
"MA","Mastercard Incorporated","534.37","63035260425.25","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ma",
"MMS","Maximus, Inc.","80.27","2736105936.41","n/a","1997","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mms",
"MELI","MercadoLibre, Inc.","93.86","4144005351.2","n/a","1997","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/meli",
"MGT","MGT Capital Investments Inc","3.85","13563299.75","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/mgt",
"MLNK","ModusLink Global Solutions, Inc","3.14","138130484","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mlnk",
"MGI","Moneygram International, Inc.","17.02","984724863.5","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mgi",
"MOTR","Motricity, Inc.","0.3549","13048868.7966","n/a","2010","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/motr",
