"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CATY","Cathay General Bancorp","19.25","1516620336","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/caty",
"CBOE","CBOE Holdings, Inc.","36.54","3188907296.82","n/a","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cboe",
"CBG","CBRE Group, Inc.","24.93","8256353299.2","n/a","2004","Finance","Real Estate","http://www.nasdaq.com/symbol/cbg",
"CNBC","Center Bancorp, Inc.","12.2","199456763","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cnbc",
"CSFL","CenterState Banks, Inc.","8.17","245880398.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/csfl",
"CFBK","Central Federal Corporation","1.5","23737065","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cfbk",
"CVCY","Central Valley Community Bancorp","8.75","83641827.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cvcy",
"CNBKA","Century Bancorp, Inc.","33.82","187922825.38","n/a","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/cnbka",
"CITZ","CFS Bancorp, Inc.","8.14","89036345.64","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/citz",
"CACG","Chart Acquisition Corp.","9.54","93015000","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cacg",
"CACGU","Chart Acquisition Corp.","10.14","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cacgu",
"CACGW","Chart Acquisition Corp.","0.49","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cacgw",
"CHFN","Charter Financial Corp.","12.57","229748677.8","n/a","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/chfn",
"CHFC","Chemical Financial Corporation","25.23","694067838.75","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chfc",
"CHMG","Chemung Financial Corp","33.5","153857326","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/chmg",
"CHEV","Cheviot Financial Corp","11.41","84437719.66","n/a","2004","Finance","Savings Institutions","http://www.nasdaq.com/symbol/chev",
"CBNK","Chicopee Bancorp, Inc.","17.05","92557374.25","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/cbnk",
"CO","China Cord Blood Corporation.","2.86","208789289.28","n/a","1993","Finance","Business Services","http://www.nasdaq.com/symbol/co",
"HGSH","China HGS Real Estate, Inc.","10.889","490549450","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/hgsh",
"LFC","China Life Insurance Company Limited","37.66","70963252661.56","n/a","2003","Finance","Life Insurance","http://www.nasdaq.com/symbol/lfc",
"CNR","China Metro-Rural Holdings Limited","1.26","92665165.32","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cnr",
"CB","Chubb Corporation (The)","88.49","23062352024.53","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cb",
"CIFC","CIFC Corp.","8.12","168129942.96","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cifc",
"CINF","Cincinnati Financial Corporation","47.79","7803710677.53","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cinf",
"CISAA","CIS Acquisition Ltd.","n/a","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cisaa",
"CISAU","CIS Acquisition Ltd.","10.12","52887120","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cisau",
"CISAW","CIS Acquisition Ltd.","n/a","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/cisaw",
"CIT","CIT Group Inc (DEL)","42.48","8541752616.72","n/a","1997","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/cit",
"BLW","Citigroup Inc.","18.5","683662116.5","n/a","2003","Finance","Major Banks","http://www.nasdaq.com/symbol/blw",
"C","Citigroup Inc.","43.56","132501120543","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c",
"C^E","Citigroup Inc.","25.29","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c^e",
"C^M","Citigroup Inc.","25.7601","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c^m",
"C^N","Citigroup Inc.","28.56","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/c^n",
"C^Q","Citigroup Inc.","25.23","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c^q",
"C^R","Citigroup Inc.","25.26","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/c^r",
