"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"WHX","Whiting USA Trust I","7.07","98017695.23","n/a","2008","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/whx",
"WHZ","Whiting USA Trust II","13.5","248400000","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/whz",
"WG","Willbros Group, Inc.","9.49","465573259.97","n/a","1996","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/wg",
"WWD","Woodward, Inc.","37.43","2570870342.22","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/wwd",
"INT","World Fuel Services Corporation","38.13","2753138520","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/int",
"WPX","WPX Energy, Inc.","17.01","3404251069.38","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/wpx",
"WH","WSP Holdings Limited","3.1","63356318.2","n/a","2007","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/wh",
"YZC","Yanzhou Coal Mining Company Limited","12.02","5911916800","n/a","1998","Energy","Coal Mining","http://www.nasdaq.com/symbol/yzc",
"YPF","YPF Sociedad Anonima","13.66","5372652752.38","n/a","1993","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/ypf",
"ZAZA","ZaZa Energy Corporation","1.65","169156351.65","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zaza",
"ZN","Zion Oil & Gas Inc","1.27","41619436.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/zn",
"ZOLT","Zoltek Companies, Inc.","12.68","435688844.92","n/a","1992","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/zolt",
